index,comments,label
40,"2009. Pak SBY juga ""Berkhianat"". Jas Merah. Dulu Deklarasi Cawapres nya hidayat nur wahid, eh mendekati penutupan Pendaftaran malah milih Budiono jadi Cawapres. Jas Merah. 😮.",0
41,"Meski gue jga kurang senang,  ga mengubah Anies 2024 pilihan ku",1
42,Tanpa di sadari bang brewok menghancurkan cita cita Anies jadi presiden...,0
43,"Gw pndukung pak PS dan pak AB dri dulu, khusus utk pak AB gw kecewa dia maju brsma nasdem yg pnya pndukung oligarki di bwah SP. Utk pak PS gw msih wait n see dan amannya gw tunggu komando ulama lurus sja. Cak Imin gk pnya jejak yg bagus slma ini pcuma jga dipasangkan dg pak Anies. Sedangkan utk AHY udah cocok mnurut gw, nama AHY itu harum sekali di klngan msyrkt melayu sambas.. syang sekali....",0
44,"Demi Tuhan, saya sangat senang. Karena pasti kalah 🤭",0
45,Mantap wan abud sang kacung om bewok...😂😂😂,1
46,Next Prabowo Presiden 2024 ❤️,1
47,ᴛᴏᴍʙᴏʟ ɴᴀᴢɪs ᴍɪʟɪʜ ᴀɴɪᴇs [tukang ngibul]------>>>,0
48,Warga jakarta mah udah kenyang sama “prank” doi. Harus sampai berapa kali bukti sih baru kapok di prank 😂😂😂,0
49,PKB (di bawah kepemimpinan Cak Imin)  BUKAN  partainya  orang  NU (ingat wasiat/pesannya Gus Dur cc mbak @yennywahid),0
50,Awas KUDA TROYA,0
51,"Gak ngaruh... Biar mereka"" meramaikan dunia toh rakyat juga tau siapa mereka",0
52,Did you remember about free concerts of Maliq @risasondari 😂,1
53,Bakal kalah ini anis surya paloh emang bodoh,0
54,"Ganjar mahfud, prabowo yeni wahid, dijamin pecah suara",0
55,Fix auto golput saya 🤣🤣🤣,0
56,Kok perwakilan PKS gak ada ya?,1
57,Yg mau milih sapa,1
58,Siap siap kalah 😂,0
59,Sama2 kebeeLettt ngiiiiiiseng 🥵🥶😷😫😩😣,0
60,"cocok tu, karakternya sama.",0
61,Goput aja lah kalau gitu,0
62,Boneka paloh 😂,0
63,Ahy di pojokan ngintip,1
64,Auto golput,0
65,Mending turu😂,0
66,petugas partai atau kacung partai @official_nasdem 😍,0
67,Golput gak sih enaknya😂,0
68,otw nyungseb,0
69,@yoga_dblng yoyoyoyoyo 😂😂😂😂😂,1
70,Pasangan cocok nihh.,1
71,EZ,1
72,Serah dah,1
73,,1
74,"Kata2 mengabdi pada bangsa dan negara, meneruskan perjuangan kakek buyut.... Sedap kali jargonnya pak, nda bisa yg lainnya, berarti selama ini belum mengabdikan diri pada nusa bangsa donk, nda bisa meneruskan perjuangan kakek buyut kalau nda jadi pemimpin",0
75,Oke,1
76,Wkwk,1
77,😂,1
78,wkwkwk tega bener sama tim freehaten,0
79,Netijen udah pada pinter..gak bakal milih ini,0
80,"Serius nanya, cak imin punya power ka? Ato cmn ngandelin NU?",0
81,Ga usah nunggu pemilu aja sudah tau hasilnya ko...😂,0
82,Ini lucu..,0
83,Cak Imin jangan gembira dulu..... Kita lihat aja hasilnya nanti,0
84,Demokrat dapat apa... partai besat tapi kok lolo,0
85,Hoaxxxx,0
86,Kalah atau menang tetap Prabowo Subianto,0
87,Duh sayang bgt pkb.. pake join bgituan,0
88,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0
89,Hadeh..politik kls tinggi...sayang saja...,0
90,"Sama ya, mukanya 🤓",0
91,Selanjutnya kemana kah PKS dan demokrat berkoalisi,1
92,"Aku org jatim, Aku NU
Gak kenal siapa cak imin 🤣",0
93,Saya Pilih Cak Imin Saja,1
94,Aduhaduhaduhhh,0
95,Gakenal,0
96,Sama sama top global kata kata🔥🔥😂,0
97,Buat rame rame aja,0
98,😂😂😂😂,0
99,Sptnya ga bakal menang  ada min nya 🙆,0
100,sedang berada dipuncak komedi,0
101,"Bener bener sama ahy malah sama diee, auto suara pada ilang",0
102,"Kita pilih presiden nya,wakil terserah siapa,macam jokowi wakilnya cuma tidur,anies tetap dihati❤️",1
103,😂😂😂😂,0
104,Gak bakal jadi 😂,0
105,😂😂😂😂😂,0
106,Di pikir nya bisa menang...mimpi dulu,0
107,😂,0
108,Semoga Ganjar berduet dengan Prabowo biar langsung Kill the game🔥,0
109,"Wis ta, tetep apik Jokowi kan?",0
110,Prabowo❤️,0
111,Elektabilitas makin nyungsep😂,0
112,skip dulu,0
113,Cak imin siapa ? Gak kenal.. prestasi yg menonjol apa ?,0
114,lucu 🤣🤣🤣🤣,0
115,Bakal rame baper2an di medsos nih...😂😂,0
116,KALO CAK IMIN GUE GA GITU KENAL .. TAPI KALO PAK ANIES GUE TAU BANGET .. BELIAU ITU  DULUNYA GUBERNUR TERBODOH.. TAPI SEKARANG UDAH BUKAN GUBERNUR LAGI ..,0
117,Kalah sebelum bertanding😂,0
118,Ganjar mbak Yenny wahid,1
119,Ngomong ngomong KI Ma'aruf Amin lagi apa ya ?,0
120,Ganjar pranowo RI 2 👍👍👍👍,1
121,Udah napa minn @detikcom  udahhhh... Kesian itu si Agus nangis gak brenti² dipojokan.,0
122,Bodo amat an...,0
123,Jadi kadroen dukung siapa?,1
124,Knp cak imin sih🤦🏻,0
125,Akwokaowkaowk... Serasa nonton ulang Game of Throne,0
126,"Wkwkwk mending jngn jadi calon presiden,,jadi calon rt ama wakil rt baru cocok",0
127,Saya mah kaga prrcaya ada isu ini..Provokasi Isu Pasti ada pada Ajang PerPolitikan dan Anehnya Orang yg pinterpinter ini Terbius angin Isu Politik juga..Jadi Cerdaslah BerPolitik untuk ber Bicara agar memjadi Kebaikan yang kita masarakat Indonesia Dambakan...Aamiin YRA..,1
128,Wakil mah ga ngefek yg kmaren wakil nya ampe skarang aja gua ga mgliat biasa menang😂 biasanya yg d dukung pkb slalu menang😂,1
129,😂,0
130,Jadi ketua umum pkb dengan cara kudeta sekarang jg wapres dengan cara kudeta juga.....imin imin😂😂😂😂😂😂😂,0
131,"Jika mereka terpilih, apakah akan ad gaduh?? Ga laah ...paling yg kalah jd kambing congek ..cari2 kesalahan🔥",0
132,Ow ow ow😲,1
133,Karena kemampuan nya di atas rata2 dalam merangkai Kata² maka anis cocok jd guru bahasa indonesia dari pada jadi presiden Indonesia,0
134,Belum di mulaii sudah kalah😂😂😂😂.......,0
135,Paling nanti di putaran 1 udah gugur 😂,0
136,"Yg satu tukang menata kata, yg satunya tukang mengkudeta. Chuaaaksz 🤣 @abdielhibran",0
137,agak terkejut kejut 😮😮😮,0
138,Gus dur aja di kudeta apalagi rakyat keingat kata2 mb @yennywahid,0
139,"Dulu 2014 gabung konvénsi calon presiden Demokrat, putar haluan,dukung pak Jokowi, belok lagi ke kubu pak Prabowo, pindah lagi calon dari perubahan, sekrang belok lagi, bnyak beloknya Wan abud😂",0
140,Malah bersyukur cak imin gk jadi pasangan prabowo,0
141,😂😂,0
142,Nyimak,1
143,Zonk,0
144,setelah Mengkhianati pak Probowo yg mengusung dia di DKI skrng Mengkhianati Demokrat trus mlih ny PKB lgi 🤣,0
145,Skip,0
146,Gak jd dukung,0
147,Kalo ga kenal ga usah di pilih ygy ..,0
148,Tunggu serangan balik ya....🤭🤭🤭,0
149,"Sekarang bukan orang yg jujur menjauhi orang yg tidak jujur, tetapi orang yang tidak jujur menjauhi orang yang jujur, karna apa??? Takutt gak sinkronn🤣🤣🤣🤣",0
150,Makin mudah melihat kemenangan @prabowo 🔥❤️,0
151,DUA SOSOK MUNAFIK! STOP PILPRE ! BUBARKAN KAUM KADRUN KAUM MUNAFIK HANCURKAN PARPOL !. KEMBALI KE MONARKI NUSANTARA MONARKI ANTARNUSA BER PANCASILA UUD1945 P4 GBHN ⚡,0
152,"Wes klob tumbuh ketemu tutup, wan Abud mengkhianati Demokrat cak Imin mengkhianati alm. Gus Dur😄",0
153,Pemilu belum mulai udah ketauan yang bakal jadi presiden yaitu antara Prabowo atau Ganjar. Kasian dah Anies,0
154,Pak Prabowo pokonya MH euy,0
155,Waduhhh banteng menang lg sih ini😂,0
156,Semoga menjadi Capres terus selama 5 periode 🙌,0
157,😂😂😂😂,0
158,Probowo FoR Ri1 2024👏👏,1
159,Makin gaada yg dukung😂,0
160,Yg masih milih dia sih gatau lah otag nya gimana,0
161,Jangan pilih orang yg ingin berkuasa ... inilah orang yg haus kekuasaan,0
162,Terbawah 😂,0
163,"Sumpah, rencananya mau pilih anies ahy, ternyata sama si imin musuh Gus Dur. Auto skip",0
164,Kecewa Pak.. mon maap gak jadi pilih bapak..,0
165,Luar biasa Koalisi 'perubahan' 😂,0
166,huhuhuhuahahahahahahaha ngakak bgt 🤣,0
167,Bener gak sih kalo pak Prabowo yg akan menang didampingi Gibran anaknya pak Jokowi???,0
168,Moal baleeeeggg 🤣🤣🤣🤣,0
169,Cak imin siapa si,0
170,Dua ambisi saling menghianati,0
171,prabowo-mahfud md. Ganjar-yenni wahid,1
172,🤡,0
173,Blunderr 😂😂,0
174,Anies menang. Gua jalan ke kantor kayang,1
175,Blunder buat anies,0
176,Gakpopo wis didadekno cawapres cek seneng ati ne arek cilik iku tp ojok dipilih 🤭🤭🤭,1
177,Siapa tau,1
178,ga peduli sumvah 🙏🏻,0
179,"Pak prabowo smoga sama pak mahfud, erick atau pak sandi🤲🤲",0
180,😮😢😂😂😂😂😂😂😂,0
181,Kiw kiw cukurukuk kuk geruuuk empu jeruuu,0
182,ASIN,0
183,Kabur,0
184,G bisa jadi alternatif pilihan ini yah,0
185,Ga jadi pilih,0
186,"Cak imin mempunyai basis masa dari PKB  yg cukup besar dan merata diseluruh indonesia terutama dijawa timur,bisa untuk mendulang suara dipemilu 2024.",1
187,Siapapun pasanganmu pastikan bukan tukang selingkuh..,0
188,Selamat y pk anis&cak imin pasangan yg romantis bngt.kesetiaan sy hanya untuk GANJAR..,1
189,Aq setuju Anis dan Ahy,0
190,"_Alhamdulillah semoga mereka mereka faham siapa petugas partai,  siapa yg hobi janji manis ,, dan siapa yg tidak bisa berbuat langsung harus menunggu instruksi BOS_",0
191,Pasangan tersandera 😂😂😂,0
192,Ttap milih p Anis..meski benci dgn cawapresnya,1
193,"Buktikan aja, belum apa2 udh di bully😂😂",1
194,"Bagai minyak dan air,........... 🥲",0
195,"Jalan pertamanya sama siapa, TUNANGANnya sama siapa, HAHA janji Manies cuma angan-angan buat demokrat 😂",0
196,Mending pk ganjar,1
197,😮😮😮,1
198,Manten mantenan,0
199,Ini hasil musyawarah besar para tokoh pemuka jadi jangan padaa nyinyirrr,1
200,cak imin koq mau ya😂,0
201,Gak jadi milih lah,0
202,Auto golput,0
203,Kalau wakilnya AHY saya pilih lho,0
204,Blunder blunder pak Anies jadi mikir lagi saya mau milih anda,0
205,Kembar,1
206,Duet apa ini😂,0
207,Biar kapok oligarkinya..,1
208,wkwkekwkkk,0
209,Yah bapak ko wapresnya itu sih.. golput jadinya ini,0
210,"PDIP kalem yah, tunggu Prabowo ngumunin cawapresnya, biar tau peta kekuatan lawan hihiii",1
211,Langsung elfeel,0
212,Belum apa2 udah pinter nge prank...,0
213,lumyan lag buat lucu2n di pilpres nanti,0
214,"Rakyat lagi ngeliatin politikus sedang rebutan kekuasaan, mereka tak perna benar-benar memikirkan rakyatnya!😌",0
215,Top🔥,1
216,Sudah dipastikan kalah😂🙌 congrat,0
217,"Cak Imin bernafsu sekali, dari latar belakang apalagi yg katanya dekat sama kyai saya kira sudah bisa hidup tentram dan nyaman, eh malah bernafsu ingin jabatan apa lagi prosesnya bikin pusing dan cape",0
218,Disayangkan sekali sih. Skip dulu.,0
219,Dumb & Dumberr 😂,0
220,Pasangan AMIS...ANIES BASWEDAN - MUHAIMIN ISKANDAR😂,0
