index,comments,label
75,"Jujur awalnya aku kepengen Prabowo - Mahfud, tp syang banget  pak prabowo malah maksain gibran buat jadi cawapres, dan pak prabowo jg sekarang keliahatan kayak kehilangan power  dan tunduk dg apa mau jokowi",1
76,bismillah prabowo hattrick🤣,1
77,"Resmi dong Ganjar Mahfud,mantep",1
78,Prabowo-Gibran skippp... Persaingan sengit capres cawapres antara GAMA dan AMIN👏🔥,0
79,Aman,1
80,Tidak sah cawapres yg melanggar konstitusi,0
81,All in Prabowo🔥🔥,1
82,"intinya adalah selama kau anak Presiden, mau sekotor dan serusak apapun langkah mu, kau akan tetap aman",0
83,Fix KPU alat2nya pakde! Bisa2nya meloloskan paslon cacat hukum prabowo gibran 👎,0
84,Waahh.. Waah.. kok bisa lolos ya? 😂,0
85,"Sorry aja nih, aku masih nunggu pas momen debat baru nentuin pilihan. Tapi sejauh ini keknya antara Ganjar atau Anies sih, kalo Prabowo kek udah banyak bet yg rusak gegara pencalonannya. 😭😭",0
86,diawal sudah banyak kecurangan mulai dari putusan MK dan pencopotan baliho. ditakutakan kedepannya bakal ada kecurangan lagi.. rakyat harus waspada,0
87,"Makasih bnyk bnyk paman Usman,akhirnya lolos juga🗿",0
88,Loe pada ribut aje ye...gegara calon2 loe ..emang kalo dia pada JD loe  JD metri ...jgn mau di adu domba politik gegara para calon loe JD pada ribut...loe gak inget dulu Uda bela2in pilih yg galak Ampe gebrak2 meja mimbar tau2 nya JD Mentri ya..lah trs qte Uda pada ribut Sono sini mereka mah adem ayem aja..,0
89,"Harusnya ngajarin yg muda gmn demokrasi yg bener, bukan maksain harus ada yg muda kan ada yg muda usia diatas 40 thn...berdoa aja semoga ga salah pilih... AMIN",0
90,emang gk punya malu ni gibran jelas2 pamannya bersalah tapi dia ttp gk mundur,0
91,"udah resmi gini yg gua takutin cuma pemilu nanti ada kecurangan pake alat negara, secara mau maju aja berani ngotak ngatik hukum dan mengakali konstitusi",0
92,"Capres ada 3, ketiganya Islam...dlm Islam dianjurkan pilih 1 yg ""Terbaik"" & pilih 1 yg ""Keburukan"" nya paling sedikit...dan itu hanya ada di AMIN 2024, In sya Allah..Aamiin",1
93,Pak Ganjar paling mengerti rakyatnya,1
94,#amin2024,1
95,BENTAR BENTAR. INI YANG DUKUNG GAMA KOK SEBAGIAN BESAR AKUN BARU DAN TANGGAL BIKINNYA SAMA YA? RENTANG OKTOBER ATAU DESEMBER😂😢. WIS GENAH TETAPKAN ALL IN PRABOWO-GIBRAN🥰❤️😘,0
96,Yg Jlas hny 1 calon... yg lain mungkin untuk Pelengkap j... 😂😂😂,0
97,GAMA MENANG 1 PUTARAN,1
98,2024 hancurkan banteng🔥,0
99,Anis 55 persen. Prabowo 25 persen. Ganjar 20 persen. Aamiin.,1
100,Prabowo-Gibran lah🥰❤️MANA BOLEH SESAYANG INI❤️,1
101,Klo klah sdh dipastikan teriak curang 👏,0
102,👏👏👏👏👏👏👏 yg ketar ketir minggir dulu😂😂😂😂,0
103,INTINYA GAUSAH PANIK🔥,0
104,Aku sih pendukung Redbull KTM.. Tp duet Naruto&Sasuke untuk Konoha 2024-2030 lebih menjanjikan.,1
105,"Gambar nya lucu, pengen tertawa aja",1
106,"Bismillah, Prabowo - Gibran (PrawAn)..",1
107,harapanku masih ke ganjar mahfud bisa memperbaiki hukum negara kita,1
108,"makin takut kalau orang2 jahat yg mimpin indonesia, ayo guys jadi pemilih yg cerdas, mending ke ganajr-mahfud, udah jelas track recordnya",1
109,Waaahhh KPU telinganya ditutup..matanya pura2 tdk melihat....mulutnya berkata kosong,0
110,"yg paling kanan red flag karna pasangan hasil mengakali konstitusi, jd saya pilih gp-md aja yg udah terbukti kualitasnya dan pengalamannya",0
111,takut nih jadinya kalo demokrasi hancur gara2 nepotisme,0
112,Pantesan td kpu ditutup..trnyata ada pejabat toh,0
113,Gak Perlu ribet.. Cukup Berdoa Minta Sama Allah dipilihkan yg terbaik... Ok??,1
114,kereenn dah ada orang udah berbuat curang di pilpres masih bisa nyalonn👏,0
115,Demi Ambisi sampai obok2 Konstitusi,0
116,"MK kmrn cuma awal, selanjutnya akan bnyk lembaga negara lain yg dijadiin alat buat menangin sang pangeran😮",0
117,"akhirnya calon wakil yg cacat formil diloloskan juga, jd tau dibalik KPU itu siapa🤣",0
118,Ngga sia2 ya pengorbanan paman dan mematikan konstitusi demi momen ini,0
119,"Wah akhirnya capres pelan pelanggar HAM dan cawapres cacat hukum siap utk berkompetisi secara ngga sehat ya, congrats!",1
120,#cacatmoral,0
121,ternyata yg paling kanan not always right soalnya berbuat curang,0
122,@kpu_ri .. bagaimana bisa produk cacat hukum bisa lolos??,0
123,Mana berani KPU ama anak Pak Lurah😂,0
124,Siap lawan alat negara 🔥,0
125,"Sya gk peduli spa presidennya thun 2024 bsok, tpi sya sngat peduli dg mas gibran yg tk punya rasa MALU",0
126,yg cacat hukum sama moral beneran lolos nih? fix ga netral ni pemilu 2024,0
127,"wkwkkw ternyata KPU 11 12 yakk sm MK, sama2 bisa diakalin hahah🫣🫣",0
128,"saranku sih jangan pilih yang udah bikin kecurangan dari awal ya, awal aja udah curang suka ngibulin rakyat apalagi ntar kalo udah jadi😂",0
129,Yakin itu yg LAHIR dr pelanggaran kode etik berat lolos 😂,0
130,Harapannya tidak ada yang menciderai pemilu dan keadilan di Indonesia.. kasian yang sudah maju dengan cara benar dan tulus seperti Pak Ganjar,1
131,"hadeuhh gini banget yaaa, bener bener ngga ada malu tuh putra mahhkota",0
132,"tau sekarang udah resmi, gue malahan takut kalau tu pas pemilu malahan mainnya lebih curang lg, duhh dr awal aja dah curang loo, lebih cerdas buat milih ya gaiss nanti pas pemilu",1
133,"Terima kasih Paman. Perjuangan mu tak sia-sia hingga mengorbankan integritas mu. Kan ku kenang jasa-jasamu Paman. Sekali lagi, terima kasih Paman 😢",0
134,Cara lawan praktik Nepotisme dan kolusi yang sudah nampak nyata adalah 14 Februari 2024 datang ke TPS dan pilih paslon selain Prabowo Gibran.,0
135,"Selamat deh yang berhasil lolos lewat jalur ordal MK, tapi aku akan nganggep ini persaingan ganjar atau anies aja, cuman orang yang mengindahkan hukum yang pantes maju ke pilpres",0
136,soeharto aj ga pakai alat negara buat ngelolosin anak ya ke parlemen...,0
137,yang duanya lagi jalur dukungan rakyat. kalau yang sebelah dukungan paman😂,0
138,ini jd harapan besar gue kalau nantinya demokrasi bisa lebih membaik bareng ganjar-mahfud,1
139,"Dulu ada dinasti ming , skrg ada dinasti owi",1
140,AMIN ❤️,1
141,"Gak usah tergesa-gesa, kita liat aja nanti waktu debat capres. Yang seru kok justru pas debat cawapresnya haha",1
142,"Kalo ketiganya kalian gak suka, terus kira2 yg kamu mau dia jd presiden siapa....",1
143,Hasil give away,1
144,"maap ni bang. cuma mo nanya, jgn digalakin.. mending menang prabowo gibran atau jokowi 3 periode? 😂",0
145,"Anies = Perubahan, Prabowo = Keberlanjutan, Ganjar = Perbo**pan 😂😂",0
146,Sah 🔥🔥🔥,1
147,"Buat pendukung Pak Anies dan Pak Ganjar, mending kalian surrend aja. Soalnya PS-Gibran mainnya pake alat negara wkwkwkw. Kemaren pake MK, besok pasti pake TNI POLRI, jadinya gabakalan kalah wkwkkwkw",0
148,Pengundian no. Urutnya kpn ya?,1
149,OSKADON PANCEN ..OYEEEE....Gambarnya....ABG =Asal Bukan GIBRAN 😂😂😂😂 ABG=Asal Bukan GANJAR 🤣🤣🤣Lalu...ABG =Aah Bingung Gue 😜😜😜😜,0
150,Aamiin....,1
151,👏👏👏👏👏 selamat berkompetisi,1
152,2 putaran kah klo dibawa 50%,1
153,Akhirnya lolos juga😂,1
154,GM,1
155,yahhh kok Prabowo lolos (walaupun ngga kaget sih),0
156,"Noted. Bedewei, mak mega pegimane kebatinannya nih? Aman?",0
157,"insyaAllah pilih semua, biar adil",1
158,😂😂😂😂😂😂,1
159,All in untuk semesta,1
160,ada putaran kedua ga ??,1
161,Bukan ud di tentuin pemenang nya yach? Ga usah nunggu 14 feb 2024,1
162,Dari foto di atas udah keliatan BEDANYA👏,1
163,semangat komennya para buzzer 🙏🏻,1
164,"Halah si paling suci pada nongol di sini, cacat hukum telek a. Daridulu kan semua di halal kan demi kekuasaan, kayak baru denger aja lu ndro kasus beginian",0
165,KIM: Koalisi Indonesia Madesu,0
166,"Bjir yg otak atik konstitusi masih bisa lolos, dekengan alat negara sulit brouu",0
167,🔥🔥🔥🔥🔥🔥,1
168,Mirip gambar oskadon,1
169,😂😂😂😮😮😮😮😮,1
170,Pamanku dari MK....membawa aku kesana... dijadikannya cawapres bowo berkat tanganmu... bercerita paman tentang bapakku yg juga ingin 3 periode....,0
171,Gasabar mau nonton debatnyaa,1
172,resmi juga bisa gunakan alat negara untuk ikut pemilu. yok keluarganya yg ada lumayan privilege,0
173,2 tahap lolos ya?,1
174,"Kita yg di bawah ( Grassroots) tenang2 aja , tapi knp yg pinter2 & yg di atas pada ribut2 ?? 🤭🤟",1
175,Aku yakin yg rame PDI - Gerindra 😂,1
176,Bismillah hatrik…bismillah buka katring lagi,1
177,KPU hanya mengikuti aturan pelanggaran etik berat yang dikeluarkan MK,0
178,Saatnya ku blokirmua media berita politik karena akan perang opini dan narasi 😂😂😂😂,1
179,"Dua kacatama, satu kacamata, tanpa kacamata",1
180,Satu doa kami....jangan ada perpecahan di masyarakat sehingga menciptakan iklim usaha yang kondusif...,1
181,Coblos semua 🔥,1
182,"Amin, dong 🔥🔥🔥",1
183,pro sasuke - boruto,1
184,"Semoga Allah pilihkan yang betul"" membawa berkah,,bukan malah sumber masalah..",1
185,No urut 1...........prabowo gibran....no 2..amin...no.3.ganj-mahf,1
186,"PG 1 , GM 2, AM 3",1
187,Banteng ketar ketir,1
188,Mantap no 3 we lah,1
189,"Klo 2 pasangan PASLON yg menang GAnjar-mahfud, jika 3 pasangan, yg menang Prabowo-gibran salam dari #majapahit #kerajaanDemak #demakjateng 💚🔥🔥🔥🔥🔥🔥🔥",1
190,Anak presiden nyawapres😂,0
191,Pas debat sapa yg kena mental neeeh😂😂😂😂,1
192,Masa depan indonesia ada di tangan rakyat 🔥,1
193,Terimakasih paman atas pengorbananmu. Percayalah jabatan menteri menumggu,1
194,Jangan percaya omongan saya. Nanti yang menang no 2 😂😂😂😂,1
195,"Siapapun yg terpilih, semoga membawa negara Indonesia jadi lebih baik🔥🔥🔥",1
196,Akhirnya jadi jg pemilu nyaaa,1
197,Dah formal kalau KPU netapin jadi ya engk ada istilah maenin aturan buat dinasti. Skrng masa KPU yg jadi wasit mau di mainin juga.,0
198,Ok sippp 2024 Golput 😂😂 datang tps nyoblos sembarangan,1
199,Klu gk mau pilih Capres gpp...1 tujuan jgn ada banteng di DPR 1 orangpun 🔥👏,0
200,👏👏,1
201,👏👏,1
202,Yg pasti 2024 ganti Presiden,1
203,"DUKUNG PRABOWO-GIBRAN, TAPI SY PILIH PRESIDEN ANIES-IMIN..🔥🔥",1
204,@yunuspasaribu_ lolos,1
205,H4M4S - Palestine kok ga ada?🔥🇵🇸,0
206,Kmrn siapa ya yg mau kasih Toyota Alphard jika Anies bisa maju jadi Capres? Wkkkkkkkkkkkk😂,1
207,Mari bersaing sehat.. rakyat yg cerdas harusnya bs menentukan pilihannya. Jgn gampang terprovokasi dan ke makan hoaks demi keberlangsungan NKRI,1
208,Tentukan pilihan anda mulai dari sekarang😂,1
209,"loh loh main resmi resmi aja, saya mau daftar ini. masih bisa ngga?",1
210,Bung Prabowo Subianto Djojohadikusumo (PSD) Presiden ke 8 Republik Indonesia 🇮🇩,1
211,Aamiin presiden RI 2024 ❤️,1
212,🔥🔥,1
213,jawa timur full ganjar mahfud md,1
214,Ooh No.. no 3 Prabowo-Jokowi!!,1
215,Kita dukung dinasti kerajaan berkelanjutan dengan membuat aturan MK melanggar hukum @m_fitrah_saidussuhur 😂,0
216,Saskehhh,1
217,"Alhamdulillah,,,Sik curang biasaya yg  tau kalau peluangnya kecil,,,😂",0
218,Kotak suaranya masih pake kardus...,1
219,"Sudah sudah jangan saling menyalahkan,pilih presiden dr hati nurani sendiri tanpa paksaan orang lain.",1
220,Jawabarat siap All in Prabowo,1
221,anak muda all in prabowo🔥,1
222,Ilustrasinya pak Ganjar kog malah mirip pak Hatarajasa yaa itu .. ☺️☺️,1
223,ALHAMDULILLAH. LANCAR2 PAKK ❤️❤️ DITUNGGU DEBAT CAPRESNYA🙌🙌🔥🔥🔥,1
224,Mana mas adam suseno.. aku mau pilih dia aja,1
225,🔥🔥🔥🔥🔥🔥,1
226,Waahhh 2 putaran nihh.. asikk bisa libur😂,1
227,Berkat pengorbanan sang paman 😂 pengen punya paman sperti dia yg rela berkorban demi ponakan klo paman ku paling ksih uang jajan bkn jabatan prikitiw...,1
228,"INGAT IKLAN SABUN,,SEMUAX NO 1 DAN HARUM..begitu juga dengan capres tetep no 1 bagi pendunkungx...bego amat semua",0
229,"Harusnya di KPU para calon presiden dan wakil presiden di kocok ulang misal Anis Gibran , Prabowo Mahfud MD, Ganjar Pranowo cak Imin . Nah dengan begitu makin rame hhhh",1
230,👍,1
231,Wong waras milih seng sat set ketimbang kakehan cangkem👏,1
232,Gas pak prabowo.  Biar amerika ketar ketir🔥 gasss,1
233,Masa kampanye nya kapan ?? Terus debat capres nya kapan ??,1
234,kenapa di gambar anies pasangannya prabowo 2014?,1
235,Mega nangis puan g jadi cawapres,1
236,😮,1
237,BUAT APA KETUA MK DI PECAT...TAPI ATURAN TETEP DI JALANIN....KONOHA,0
238,Udah ya pak Ganjar jgn tercenung² lagi,1
239,Bismillah 2024 Anies Baswedan presiden RI,1
240,2024#amin,1
241,"Kami wong cilik sudah pasti memilih yg melanjutkan pembangunan infrastruktur Pak Jokowi yahh. Jangan sampai negara kita dipimpin oleh gerombolan r4dikal Islam Arab yahh. Karena kita sudah sepakat agama kita yakni Islam Nusantara. Jangan main2, bung!",1
242,Ganjar mahfud,1
243,Ganjar majfud ok ke istanan🔥🔥😍😍,1
244,Rasa family,1
245,ALL IN PRABOWO LE ! @iryprga gaduh avanza hiji mangga,1
246,Ganjar-Mahfud,1
247,"Sudah ku duga 😂😂 Hidup Dinasti pasti menang, Ganjar , Anis gk usah buang2 duit buat pemilu pemenang nya sesuai pesanan 😂😂😂",1
248,3 pasangan sama sama bagus tinggal sesuain sama selera masing2,1
249,Ga ada yg lebih ngeri pak ganjar Mahfud ini mah yg menang(bukan buzzer mana2),1
250,Suka di pilih GK suka jngn di pilih...,1
251,"Udh dah gaush demo demo minta batalin, mending tim pemenang fokus aja tuh menangin calon nya",1
252,Amin.. ❤️,1
253,Kiiiww kiiiwwww 🙌🙌,1
254,All in Prabowo,1
255,Yg cacat hukum n moril bisa lolos uyyy,0
256,"Kalo prabowo jadi presiden, saran gw jangan kebanyakan kritik prabowo ntar diculik",1
257,Warga Dusun +62...Ayoo🔥,1
258,All in Prabowo-gibran,1
259,Milih prabowo sama aja jokowi 3 periode 😂,1
260,All in Prabowo-Gibran 🔥🙌,1
261,Alhamdulillah Prabowo gibran 🇲🇨❤️🥺,1
262,"Walaupun 2024 Anies bukan berpasangan sama Ahok, mudah-mudahan 2029 bisa bersama untuk Indonesia Lebih Maju🔥🔥🔥",1
263,Prabowo Gibran 🔥,1
264,All in Anies ❤️❤️❤️❤️❤️,1
265,"Yess,,,,pasukan PRABOWO-GIBRAN siap bekerja keras.",1
266,"Pokonya kalo kalian peduli pada bangsa, jangan pilih cawapres yg mainin hukum demi dirinya. Pilih anis atau ganjar. Toh selama bapakny menjabat juga korupsi dimana2 merajalela, hutqng numpuk ampe tiga kali lipat dibanding sby, ekonomi ya gini2 aja. Cuman pemb infrast doang yg menonjol itupun krn dibiayai hutang",1
267,"Atur aja tinggal lantik ,gak usah ada pilpres udh jelas pemenangnya",1
268,Alhamdulillah resmi ada 3 calon tinggal dipilih aja mana yg disukai ga perlu saling menjatuhkan Kya pemilu² sebelumnya 😊,1
269,#aminajahdulu ❤️❤️,1
270,Haduhh udaaah padaaaaa ketakutan kalah amat ya ama gibrann😂...udah ajaa buktiin nantii. Ga usahh takut kalaah gituu. Padahaal blm bertandinggg🤣...,0
271,Amin kan saja❤️❤️,1
272,Prabowo Gibran gas❤️,1
273,"Capres/cawapres yg umbar janji2 apalagi yg masuk akal gak usah dipilih, dah pasti tukang ngibul. Contohnya janji klo terpilih BBM gratis , dah jelas ngibul",1
274,Gibran kalau gagal jadi cawapres tuh kasian sama paman nya yang sudah berjuang sampai rela mengorbankan jabatannya demi keponakan nya😢,1
275,ujung gading siap memilih prabowo,1
276,Cb apa yg di banggakan dri prabowo gibran? Apa cb?,0
277,Brrti resmi pula paslon yg terdftar lewat jalur paman . Mantappp .,0
278,"Hati-hati dgn Prabowo, orang yg paling berambisi untuk berkuasa..",1
279,"kl saya ga pengen banteng menang lagi maka pilihan hanya ada anies atau prabowo, jadi saya nyimak dulu smoga kedepan bisa mantep milih mana",1
280,Itu ada bocah kecil disitu....,0
281,Ga dulu deh klo masih bocah,0
282,"Ganjar Mahfud, Menang 🙌",1
283,Selamat Berkontestasi Untuk 3 Pasangan Capres dan Cawapres ... Bertarunglah ide dan gagasan untuk membangun negeri ini ....🔥🔥🔥🔥,1
284,👏👏👏👏,1
285,Anies,1
286,ALL IN GANJAR🔥,1
287,Bravo Ganjar Mahfud,1
288,"Yang bijak yah temen temen semuanya, engga apa2 beda pilihan, tapi jangan sampe berlebihan ya, inget ya kejadian yang udah udah dulu, tetep jaga kebersamaan di tengah perbedaan pilihan politik",1
289,All in prabowo gibran presiden no debat,1
290,Pak Anis,1
291,"Ngga Sabar nunggu DEBAT CAPRES-CAWAPRES SIARAN LIVE 💪😎, kita semua rakyat indonesia akan melihat masing masing kapasitas capres & cawapres Indonesia kedepannya seperti apa 😎 ... Soal adanya kecurangan atau tidak , kita sebagai rakyat hanya bisa mengawasi & mengawal sebisa mungkin 😇🙏 .. MERDEKA 💪🇮🇩",1
292,Plih anis.berrti perubahan...pilih yg lain berarti melanjutkan kinerja jokowi...dan sy smntara antri d pertamina..dan innterjdi berulang kali slama bertahun2..,1
293,"Tenang Saudara Saudari sebangsa & setanah air, gunakan hak pilih sesuai hati nurani pada tgl 14 feb 2024 tak usah saling menjelekkan.

#Pendewasaanpolitik
#indonesiajayaraya",1
294,Emoticon hari ini 👍👉✊,1
295,👍,1
296,"SEMOGA GEMBONG KKN perencana 3periode SELALU KALAH, CAPRES IDEAL HANYA AMIN, Anies Imin yang pantas RI1",1
297,Mari bertarung...😂😂😂gaskeuun..wkwkwk,1
298,Waspadai KTP TKA China!!!,0
299,Kita butuh kerjaan bukan kartu 😂😂😂 food estate,0
300,kpu bagian dari drama jokoe,0
301,All in Prabowo Gibran 🙌❤️❤️❤️❤️ yess🔥🔥🔥,1
302,"Dr fotonya keliatan yg ambius + songong yg lipat tangan, musuh mbk inayah wahid😂",0
303,Itu cawapres Prabowo gak malu asli.... 😂😂 Kasihan orang tua nya atuh bikin malu publik,0
304,"Ada pasangan calon dari pelanggaran etika berat, apapun itu kalau didapat dari hasil yang tidak benar tidak akan berkah",1
305,2024 POKOKNYA HARUS ANTI PDIP 🔥,0
306,Iyessssss......🔥🔥🔥🔥🔥,1
307,Ala ala si kuning beraksi... Jd ingat orba,0
308,Ada yg melanggar kode etik koq tetep resmi..aneehhh😑😑,0
309,BODO AMATAN 🔥🔥🔥😂😂😂,0
310,Semoga KPU tetap netral. AMIN,1
311,"Bertarung yang fair ga usah saling mengolok2, jgn bikin rakyat gontok2an gara2 beda pilihan, bikin gembira siapapun yg jadi yg peting pro rakyat",1
312,Prabowo Gibran❤️❤️,1
313,Probowo mntp,1
314,😢😢,1
315,Pilihan sy gk ada.sy nunggu ajalah siapa yg menang. Pilihan sy gk masuk pdahal orangnya cerdas banget. Tpbyapartai gk menginginkanya ya sdh. Notonton saja.,1
316,Orang baik ya pilih orang baik. H. Ganjar Prof Mahfud. Merdekaaa❤️🔥,1
317,Prabowwwwooo gibrannnn,1
318,All in anies,1
319,😂😂😂,1
320,alhmdulillah indonesia maju bersma pak prabowo dan gibran,1
321,pasangan yg paling kanan kok putih putih sendiri ya? 😮,0
322,Klu daftar capres peerlu siapin dana berapa dah??,1
323,"KPU sudah diatur,,keputusan mkmk gak ada gunanya,,,dasar rezim sontoloyo....😡😡😡😡😡",1
324,GANJAR-MAHFUD lebih BAIK👏❤️,1
325,Pasangan AMIN pemenang..,1
326,PRABOWO❤️,1
327,"walaupun saya di Singapur, tapi saya tetap peduli dan berusaha update dengan kabar2 di Indonesia ku tercinta 🇮🇩 dan saya berharap Pak Ganjar dapat terpilih sebagai Presiden karena riwayat dan pola kehidupan beliau yang humble, bersih dan benar2 memikirkan rakyat karena beliau juga pernah hidup sederhana.. dan yang terpenting beliau berani vocal (mengeluarkan pendapat) atas masalah2 yg tidak adil atau tidak benar.. dapat terlihat juga dari didikan anaknya yang bagus dan sayang dengan istri 👍🏻 nasib Indonesia di tangan kita semua, saya doakan yang terbaik untuk Indonesia, Pak Ganjar dan seluruh rakyat 🙏🏻🙏🏻🙏🏻",1
328,mas gibran 🔥,1
329,Pilih pak anies saja 🥰,1
330,"Yang merasa miskin,ayo dukung Prabowo, lumayan dapet makan gratis setiap hari, tidak perlu kerja, cukup tunggu dirumah,nanti dikirim nasinya,lewat mimpi 🤣",0
331,PRABOWO GIBRAN DONK❤️❤️❤️❤️❤️❤️❤️❤️❤️,1
332,Anis ato ganjar..,1
333,Mantapp Ganjar Mahfud yuk gaspoll pokoknya harus menang,1
334,HARUSKAH KITA SALING NYINYIR??,0
335,Ganjar mahfud for presiden RI🇮🇩🇮🇩,1
336,Kami percaya bahwa mereka akan memimpin dengan keadilan dan keberpihakan kepada rakyat,1
337,Go go sambil pipis,1
338,Mantap ganjar mahfud pilihankuu🔥🙌,1
339,semangat untuk pak ganjar mahfud! semoga Tuhan berkati selalu!,1
340,Ada yang cacat hukum bisa lolos,0
