Unnamed: 0,comments,label
24,"Kepada yang terhormat
Pendukung Prabowo
""SPIL DONG PRESTASI BELIAU APA SAJA""
Jangan cuma (ALL IN, ALL IN) kami bosan bacanya, serius seperti orang yang tak punya arah tujuan... 😂😂😂",0
25,"PDIP nolak permintaan 3 periode ayahnya, tp diteruskan sm anaknya. emg bener mau perpanjangan kekuasaan jalur baru, jalur dinasti",0
26,"GANJAR - MAHFUD MD.
PILIHAN TEPAT UTK NKRI
🇮🇩🇮🇩🇮🇩
PDIP TETAP DI HATI🤟❤️🤟",0
27,"Dari ""penjual martabak"" menjadi wali kota. Baru 2 tahun sekarang menjadi cawapres. Semudah dan secepat itukah untuk mengurus negara. Sementara yang lainnya harus berjuang dan berkorban hingga bertahun-tahun untuk mengabdi pada negara. AKAL SEHAT TELAH MATI. DIKALAHKAN OLEH NAFSU DAN AMBISI.",0
28,"Setiap hari pak lurah bicara etika, tapi ternyata bibir tak bertulang",0
29,Berkhianat pada PDIP. Berkhianat pada konstitusi berkhianat pada rakyat😂,0
30,"Sebenernya ga masalah kalo Gibran jadi cawapres, cuman yang salah proses buat jadi capres itu terkesan licik. Jadi ketika nanti pasangan ini kelak menang akan kah peraturan politik nantinya akan rusak, dilihat yg terjadi sekarang sudah seperti itu bertindak sewenang-wenang tanpa memikirkan dampaknya? Dan hanya bisa dilakukan oleh elitenya para elite?:)",0
31,Jangan sampai generasi muda ikut2an dg cara instan,1
32,"Siapakah Aku?? Aku anak presiden, pamanku ketua MK dan adikku ketum parpol, tenang gampang di atur semuanya 😂🤪",0
33,"Penghianat PDIP : ""Nggak apa - apa""
Menghianati konstitusi : ""Nggak apa - apa jugaa""",0
34,udah gakpapa doang? bisa jadi besok rakyat yang dihianatin sama dia,0
35,Clear sekeluarga pulang ke solo lebih cepat,1
36,keliatan kok kalo gila jabatan lewat anak2 nya belakangan,0
37,Sdh gk respek...mentang2 anak presiden.,0
38,"2 TAHUN KOK PENGALAMAN, 2 TAHUN NYICIL MOTOR AJA BELUM LUNAS",0
39,Salah ya tetap salah masse.. mau dipermak dengan bahasa gimanapun bagi org waras tetap gak beretika. Indonesia ini etika masih jadi no 1.,0
40,"Emang gue pikirin juga lu?¿¿¿ wkwk...kasihan deh lu, masih 37 tahun udah nggak taat hukum, nepotisme, aji mumpung bpk presiden, gimana jadi wapres ntar🤦‍♀️🤦‍♀️🤦‍♀️HANCURLAH NEGRI INI DIPIMPIN SAMA ORANG MODEL GINI",0
41,"Pada mau ya punya wakil presiden gak tegas mencla mencle tak beretika...gmn kalau dia harus gantikan presidennya yg berhalangan tugas, bisa langsung di caplok asing negri ini",0
42,"*Fakta Peristiwa* 
Prabowo 2x merupakan lawan politiknya Jokowi dalam pilpres, sekarang cawapresnya Prabowo adalah anak sulungnya Jokowi. 😁
Mahfud pernah masuk jadi tim pemenangan presiden Prabowo, sekarang jadi cawapresnya Ganjar dengan lawan politik Prabowo. 🤭
Anies pernah satu kubu dengan Jokowi, dan pernah juga satu kubu dengan Prabowo, sekarang jadi lawan politik dari keduanya. 😅
Sandiaga Uno di pilpres terakhir menjadi cawapresnya Prabowo dan lawan politiknya adalah Jokowi yang didukung kubu PDIP. Sekarang Sandiaga Uno memihak kubu PDIP yang lawan politiknya adalah Prabowo ➕ putra sulungnya Jokowi. 🤣
🤫🤫🤫🤫🤫
*PESAN MORAL:*
_Dalam politik tak ada Kawan dan Lawan abadi._
*Yg abadi adalah Kepentingan.*
 *EVERYTHING IS JUST A GAME.* 
Karena itu enjoy aja. 
*Jangan memusuhi kawan dan kerabatmu yg berbeda pilihan Capresnya.*
Para elit politik itu bisa gonta-ganti pasangan politik, mereka yg tadinya musuh bisa jadi kawan atau sebaliknya.
Sementara kalian sudah terlanjur memutus *persahabatan bahkan persaudaraan* demi junjungan politisi kalian, yg besok sehabis Pilpres sudah kongkow² bareng di balik panggung.
*Mereka mendapat kekuasaan, kalian kehilangan persahabatan.*
*Ingatlah...*
Kalau hidupmu susah, yg menolong mu itu bukan para elit politik diatas sana...
*_Tetapi kawanmu, tetanggamu, dan saudaramu..._*
Semoga bermanfaat.
Salam Sehat.
*Jadii...*
*_Sebaiknya kita warga negara biasa.. hayo.. biasa2 saja.. santai saja... tetap jalin persahabatan dan persaudaraan dgn tetangga.. kawan.. sahabat apalagi saudara kita.._* 
*Pilihan boleh beda, tapi jangan korbankan persahabatan dan persaudaraan kita.*
Salam silaturahim, salam sehat.
*Tetap jaga persaudaraan & persahabatan...*
*Salam waras* 🍻",0
43,Tombol Prabowo Gibran menang>>,1
44,Sdh biasa berkhianat,1
45,Gibran muka kok Ploga plongo Kyok bapak e 😂,0
46,gw gk peduli soal dia pengkhianat banteng ato apa... cara dia maju pake ngakalin konstitusi itu yg masalah!!!,1
47,"naudzubillahimindzalik mas, udah ngakalin aturan lewat Mahkamah Keluarga, ini berkhianat pun tanpa malu!",0
48,2024 Anti Keluarga Pak Lurah,0
49,Jgn pilih calon pemimpin yg lahir dr pengkhianat konstitusi @gibran_rakabuming @jokowi @prabowo,0
50,Sudah keliatan bgt gak profesional dan tidak menghormati dah lah buka mata pake otak rakyat udah pintar 😅,1
51,"Ribet ribut amat orang2 sekarang ributin apa juga, dunia politikus dari dulu sampai sekarang ya sama saja, biarlah siapa yg terpilih, lagi pula kalian tetep kerja keras untuk menghidupi istri dan anak2mu, terserah mereka yg terpilih mau indonesia ini di jadikan negara yg seperti apa, kulo manut mawon",0
52,Pasangan penuh beban..,1
53,"Sumpah omongan orang2 bikin sakit hati bgt, attitude nya 0 besar",0
54,Saatnya yang muda berkarya🤟,1
55,Pengkhianatan reformasi juga,1
56,"""Karena Paman"".. 2024 semakin yakin Pilih Anies Muhaimin.. AMIN...🇲🇨 #AMINAjaDulu ------------------------->>",0
57,#2024 Prabowo - Gibran ❤️,1
58,😂😂😂😂😂😂,1
59,Love Pak Prabowo dan Mas Gibran... Udah bener sama Pak Prabowo... Nggak bagus juga 1 Partai Berkuasa terlalu lama.. Nanti bukan jadi kepentingan rakyat tapi malah kepentingan partai.. Syemangat.. ❤️,0
60,Mau siapa yg jadi presidennya...hidup semakin susah kok...byknya peraturan2 yg bikin rakyat tambah susah...emang ada dipikiran mereka...,0
61,"Plot Twist dalam Negeri dongeng ini adalah, ""What If""... Menjelang PILPRES 2024, bu Mega sengaja membuat skema seolah-olah keluarga Presiden di musuhi partainga agar masyarakat empati dan mendukung keluarga Presiden untuk menang di 2024 sebagai pembuktian bahwa tanpa ""Banteng"" mereka bisa... Setelah menang, sang ""Banteng"" pun berdamai dan kembali berkuasa...",0
62,PDIP 2024 skip dlu,1
63,Lepas dulu ketawak mu.. biar rakyat tau wajah asli mu,1
64,"Kepada yang terhormat
Pendukung Prabowo
""SPIL DONG PRESTASI BELIAU APA SAJA""
Jangan cuma (ALL IN, ALL IN) kami bosan bacanya gak kreatif sama sekali... 😂😂😂",0
65,Enteng bgtt ya jawabnya wkwk.. besok” kalo ditanya wartawan liat rakyat susah.. “ ya gpp “ 😂😂😂😂,0
66,Sangat menyesal langkahnya mas coba klo sabar dan kbh elegent semua jd enak..akhirnya klo skarang trima resiko nya saja jujur sy menyayangkan saja ambil langkah demikian tp sy percaya mungkin sdh surat harus begini jadinya 😢😢😢😢,1
67,Ahli membuat martabak,1
68,Etika mu ndi le.....,0
69,Oh... Ponakan kesayangan Paman,1
70,2024 #antipdip,1
71,Karma will take over,1
72,All in prabowo,0
73,Pak Jokowi you are the best president.... Gara gara pak Jokowi saya bisa dari Stabat ke tebing lewat toll pak❤️❤️❤️,1
74,Ganjar Pranowo Mahfud MD 💪🇮🇩❤️,1
75,Clear gigi mu bran?,0
76,#AntiRezimLurah,1
77,"Tenang tenang mas Gibran, Pak Prabowo sudah ada disini",1
78,Jelas mana yg Petugas Partai dan mana yg rill petugas rakyat... mau dapat jatah capres dgn nolak Pildun u20/pake isu Israel... plakkkk,0
79,Klo sdah Clear berarti Jokowi 2 Kaki.,1
80,Kata teman ku @sudarmanto_bahri Contoh buruk bagi masa dpan indonesis,0
81,Jangan nyampe rakyat Indonesia di pimpin kakek2 tua sama bocil ngantuk,0
82,Jijik,0
83,Jijik,0
84,YG KENAL UDA BANTUIN AJA DI KHIANATIN APALAGI RAKYAT YG GAK DIA KENAL,1
85,"Ya terima saja dianggap penghianat, karena faktanya seperti itu..",1
86,"Bersin blm bener,jd cawapres😂😂",1
87,Biasa lah dlm politik..hianat berkhianat..😂😂😂,0
88,Terlalu cepat...,1
89,"Kirain gk ada org gila di sektor pemerintahan, ternyata ada org yg tergila-gila dan kekeuh nerusin kekuasaan ke anak2nya",1
90,Kartu anggota pdip pulangin dong y,0
91,Ahkkk CEBONG CAWE2 LG ACTING DRAMA POLITIK!! 11-12 DIA2 JUGA.,1
92,Bgitu mudh nya jdi pnghianat dlm prtai...😂😂,1
93,"Kesempatan tidak datang 2 kali, kalaupun datang pasti dalam bentuk berbeda 😃👍",1
94,"Jokowi Ketawa tawa aja pas disindir eh langsung pindah haluan, berasa anak pendiem kalau marah",0
95,Ya Ga pa pa wong bapak nya presiden 😂,1
96,"yah belajar dulu lah ya, siap2 aja dulu, besok kan siapa tau jadi pengkhianat rakyat juga wkwkwkwk",0
97,Terima kasihh paman,1
98,Modal bapak nya aja,1
99,Santuy dong... Kan dia cuma anak ingusan tapi kok komennya pada panik gitu 🔥🔥🔥,0
100,TETEP PAK PRABOWO,1
101,"Kami kaum awam,,,penghianat itu yg bagaimana,,,tolong dijelaskan👏",0
102,Tolong carikan obat fluu,1
103,Tombol Rafatar - Ethes menang --->>>,1
104,Privilage,1
105,"Tombol tetap yakin dengan ucapan "" AMIN """,1
106,"padahal sekeluarga punya jabatan, tapi yg dikasi ke rakyat cuma sepeda mentok mentok laptop doang satu biji wkwk",1
107,PDI 😂😂,1
108,"ini mslh kesempatan berkarir lbh tinggi..apa yg salah, siapa bs menghalangi",0
109,TOMBOL PRAGIBRAN Presiden 2024-‐->>>,1
110,"Komennya lucu lucu hahahhaha, politik itu dinamis suka pilih kagum dukung gak suka gak kagum yo jangan dipilih. Merasa mas gibran anak ingusan belum pantas ya udah nda usah dipilih beres kan? Masalah dia planga plongo kek apa kek, lah wong alm gusdur aja maaf ya, yang punya kekurangan bisa jadi presiden kok. Gak ada halangan selama dia punya kapasitas dan rakyat percaya siapa aja boleh jadi pemimpin. Wessa adem adem wae lah jangan pada berantem malu negara udah dewasa rakyatnya masih kek anak TK",0
111,Serasa anak dan bapak yg abis berenang😍,0
112,"Prabowo ketuaan, Gibran jam terbang kurang",0
113,Ganjar Pranowo  Mahfud MD presidenku,1
114,L,1
115,Putus urat malunya,0
116,"Menyimak poros dinasti keluarga Presiden: Bu Mega&Mba Puan,  Pak SBY&AHY, Pak Jokowi&Gibran. Itulah Indonesia yang sebelum merdeka sudah ada dinasti politik kerajaan yang umurnya lebih tua dari NKRI. Secara tidak langsung budaya dinasti politik terbawa oleh tokoh politik daerah maupun nasional. Dinasti politik di daerah justru sudah menjadi tradisi yang kuat sejak era reformasi datang. Sekarang masalah dinasti politik tingkat nasional memanas sejak putusan MK dan pencalonan Cawapres Gibran",1
117,"Sedihnya jutaaan pemuda cerdas yang berjuang dari nol untuk memperoleh kata sukses, kalau role modell sukses anak muda adalah Gibran - yang memperoleh segalanya kaarena paman n ayah",1
118,prabowo-ganjar kliatannya mereka itu bestie.. bukan lawan.. cmn drama istana yg ada.,1
119,MERASA NEGARA INI MILIK PDIP AJA YG LAIN NGONTRAK GITU?🙄,1
120,"Lossne mas, golek seng ora di setir wae 😂",1
121,"Kan.. Masih 1 kolam, biarin dah 😂",0
122,Ntar menghianati rakyat : gak apa2,1
123,Boruto 👏👏👏,1
124,Lebih tepatnya bukan berkhianat sih tp memilih yang jauh lebih baik 👏,1
125,Gw golput tp gw berharap ganjar menang gw taruhan tiket liburan ke Samosir cuk 😢,1
126,"Hanya orang yang DEFISIT LOGIKA DAN NALAR  yang pilih prabowo dan gibran...yg satu udah tua,ngomong aja gak jelas..yang satu munim pengalaman..tapi sombongnya minta ampun...",0
127,Lah kan Denokrasi katanya,0
128,Jelas dia bioang ga masalah mmg pengkianat. Mencla mencle ga jujur dari awal.,0
129,Berarti pinalti PDIP copot gak jabatan walikotanya?,1
130,Rai gedek kalo orang jawa bilang,0
131,"Mengkianat pdip ngak apa apa, mengkianati kontitusi anda anggap juga ngak apa apa berarti anda telah mengkianati NKRI.",0
132,Ada yang tau gak kriteria untuk jadi presiden di indonesia itu apa?? 0,1
133,Capresnya cuma 2 kok. Mau wowo atau Gjr yg menang visi misi mereka sama dan 10 tahun lagi kita ga akan berubah.,0
134,"Aku rasa itu tidak layak jika di sebut sebuah penghianatan. Tapi ini memprioritaskan pada sebuah panggilan. Gibran juga mungkin memiliki bakat dan kecerdasan seperti ayahnya, dan dia juga mudah di ajak berkembang,,, Wallahu a'lam 🙌",1
135,Tidk tertarik......,1
136,All in Prabowo Indonesia maju RI1 Bismillah❤️❤️,1
137,"Urat Malu sudah putuss, kalah harus mengakui pemenang pillpres yaa",0
138,No attitude,1
139,"Memang benar,ga mungkin sekali lo mau membantah,tinggalnpunya malu apa tdk?",1
140,"Kalo partai sebesar PDIP mungkin sdh biasa di khianati,yg luar biasa penghianat an thd konstitusi, ngakali aturan demi kekuasaan 😢",0
141,"Kebo aja di khianati, apa lagi manusia. Mikir bro",1
142,"Quotes terbaik ""engga apa-apa""",0
143,"Beliau cerdas santun berakhlak mulia berbudi pekerti luhur sederhana jujur bersih track record jelas konsisten dan tuntas menjalankan tugasnya sebagai gubernur DKI Jakarta selama 5 tahun penuh penghargaan dalam dan luar negeri beliau adalah Anies Rasyid Baswedan pantas dan layak untuk memimpin Bangsa Indonesia 2024, gassspooll ‼️🔥🔥🔥",1
144,"Kalau pasangan ini menang, entah masyarakat ini masih punya etika atau tidak. Yang sekotor cara ini dimenangkan 🥲",1
145,All in pak Prabowo❤️ bissmillah,0
146,Pasti pilih PRABOWO-GIBRAN,0
147,"Saya respeck sama pak jokowi tapi tidak dg anak nya. Maaf ya pak jokowi, saya dukung ganjar mahfud.",0
148,😂 Jawaban yg sangat clear 😂,1
149,soyo suweh kowe dadi tambah o'on leh ..,0
150,Strategi macam mana lagi kawan🤩,0
151,Awalnya saja sdh obrak obrik konstitusi..menjlnkan yg salah..tindakan ga bermoral.. Gmn nti nya yaaa.. Ga ikhlas dipimpin yg kek ginii,0
152,Ya kalo di wawancara jawab ny itu terus..,0
153,"""Monggo""",1
154,"""Ngga apa2""",1
155,Bocil,1
156,"""Silahkan saja""",1
157,"Wkwkkw pendukung banteng merah pada kepanasan nih yeee😂.. dibalik suksesnya pak prabowo dan gibran ada pendukung yg luar biasa dibelakangnya, ada pak SBY, pak Jokowi dan masih banyak lagi.. yg tau seluk beluk negara. Aku tetap dukung Pak Prabowo-Gibran❤️",1
158,Gibran 2 tahun menjabat jadi gubernur naik jadi cawapres. Dan bapanya pa Jokowi naik gubernur Jakarta baru naik udh di naek lagi jadi presiden.. instan semuah si kalu di pikir pikir,0
159,Ini setingan politik coy jgn tertipu 😂 jelas2 maik mak sama puan santai2 baee ada tujuan yg jelass,1
160,AMIN aja.. Bismillah Allah meridhoi..aamiin,0
161,Kacang lupa sama kulitnya 😂😂😂,1
162,Si mental baja,1
163,Blm2 sdh berbohong.... Program2 yg disebutkan gibran  kata ibu sri mulyani  itu adalah program APBN 2024 yg sdh diketuk... Piye iki... Kecil2 dh bohongi kami ...,1
164,Kenapa sih kalau orang Sudah melakukan hal dianggap itu Hak nya Justru Di Hujat & di Perbincangkan. Bukankah semuanya sudah di Selesaikan😂,0
165,yaAllah gib gib ngg ada malu malu mya kau ni @gibran_rakabuming,1
166,"Soalhkan berrbut  saling sikut , kalo kebamyakaan rakyat akan pilih pak anis is the best pokonya",1
167,Msh kecil tp suka boong,1
168,All in Prabowo -Gibran 🇮🇩 🔥🔥,0
169,Sekenario yang sempurna 👏,1
170,Semoga Solo tetap menang Banteng nya...biar padha tahu juga... keluarga ini dulu asalnya dari Banteng juga...,0
171,Ojo percoyo  Gibran..,1
172,Ya Tuhan.. yg begini akan jadi pemimpin kami. 😢. Mau jadi apa bangsa ini kedepan😢,0
173,Anies untuk RT 01 😍,1
174,Karena bpk dan paman berkuasa😂,1
175,"Jalanmu sudah tepat Lee,tunjukan pada yang ngemeng wae😂😂😂",0
176,"Duet pa'prabowo kurang pas ngk seimbang, jng sampai gagal 3x",0
177,Ga nyoblos,1
178,Cah cilik Kok Gak takut kualat.....😮,0
179,"Pengkhianat itu buruk bung, kok ini malah ngga apa apa",0
180,ini bukan pilihanku.....,0
181,Dengan kata2 bisa ditebak arogansinya,0
182,Terima kasih atas ketukan palunya  PAMAN..😂😂,1
183,sombong bgt jatohnya wkwk kok malah bangga sih,0
184,"MANTAB GIRAN ...KAPOK MILIH PARTAI WONG CILIK,dulu bbm naik ,demo,nangis tp saat ini bbm naik kok diam ?..katanya dekat dgn rakyat tp kok  ada kasus WADAS ? program berantas korupsi tp gmn HARUN MASIKU ,UANG 349 T ,bicara di DPR tp tdk ada krlanjutanya ,apa hanya cari sensasi ? ...utk gibran yg pilih cawapres prabowo itu benar sb  saat raker ada yg bilang p jokowi itu bila tdk ada pdip  mau jadi apa ?...ingatlah P Jokowi itu Presiden & tdk sewajarnya dikatakan seperti itu .saya saja pendukung p jokowi 2 periode merasa sakit ,apalagi anaknya ( gibran ) ,utk itu masyarakat hatap paham dgn semua ini ..dan mari kita dukung PRABOWO GIBRAN ,biar negara aman dari dalam ( kkb ) juga dari luar ( perairan indonesia ) dan disegani negara lain menjadi macan asia .",1
185,"Suatu saat politik yg model begini, bakal kena karma tndai aja.😂",0
186,Dr muka dan penampilan aja uda nga ada aura pemimpin yg baik,1
187,Ya gak apa apa dianggap penghianat karna kan bapak saya juga penghianat.. jadi kami ini 1 keluarga penghianat + munafik,0
188,,1
189,"Lagian dlm dunia politik itu gak ada yg namanya di sebut loyalitas, percis seperti dunia sepak bola,, dimana aja bisa masuk . Judulnya “kepentingan dan keuntungan”…",1
190,Prabowo-gibran tetap pilihan q..... Urusan menang kalah gak mslah...,0
191,"- Amerika julukannnya paman sam
- Indonesia julukannya paman usman",1
192,"- Amerika julukannnya paman sam
- Indonesia julukannya paman usman",1
193,Mana peduli dia,0
194,"Konyol, 3 calon yang gweh pengen ga ada yang srek sama sekali, pak prabowo harusnya sama pak mahfudz.",1
195,3periode 🤮,1
196,Yg ptg tetep bagi hasil,1
197,Btw konoha punya wapres ndak?,0
198,"Menghianati partai itu biasa
Menghianati kontitusi sangat luar biasa",1
199,"Pas masih walikota ak resfeck bgt loh,,,tapi smnjak loncat nya kejauhan aga gimna gitu.minimal.slsaikn dulu masa jabatan nya sbgai walikota trus naik lah jadi gubernur benahi surakarta aj blom full ko mas mas ko loncat nya jauh bgt😂😂",0
200,Jawaban ndak jelas,0
201,"Sudah saatnya kita bikin dia terdiam di pemilu 2024......., semua keluarganya sudah di beri kesempatan menjabat, tapi tak tahu caranya menghargai  orang"" yang berjuang dulu. Mari kita buat dia jadi gelandangan politik",0
202,"""intinya aja, mas""",1
203,"Biarkan keluarga pak Jokowi merasakan bagaimana rasanya diserang buzzer 😂, ternyata buzzer milik banteng 😂",0
204,Bocil aji mumpung gak tau malu 😂,0
205,Sudah saatnya banteng istirahat... Biarkan PRABOWO-GIBRAN yg bekerja untuk indonesia👏,1
206,Konstitusi aja dihianati apalagi cuma PDI-P 😢,1
207,Ga masalah disebut penghianat demi kerakusan kekuasaan...sdhhilang akal sehatnya anak kecil ini...,0
208,Kata Pengkhianat itu merendahkan martabatmu Nak..! Jgn bangga dgn kata ini...! Insya Allah kamu akan kualat dgn kata - kata ini. .. 😢😢😢😢,0
209,"ingat, hanya anies yg tidak ada bau2 banteng nya 😂",1
210,Ganjar Mahfud ❤️,1
211,"Jangan kita pilih yg gampang melupakan jasa orang yang sudah membesarkan seseorang, jangan pilih penghianat.",0
212,"Klo menurut saya pribadi, kayaknya pak prabowo-gibran yg menang krn dibelakang layar sudah di back up papa wowo",0
213,Apa Pengkhianat ya jgn dipilih,0
214,udah ketebak gimana kedepan nya:3,0
215,COBLOS CIPUNG,1
216,Ndableqqq,1
217,Berkhianat partai A gapapa deterjen balesnya berkhianat sama rakyat terus gapapa??beda konteks boss coba lihat dari segi omongan gapapa dibalik itu pasti ada apa apa🙏🏻,1
218,Ganjar-Mahfud 2024-2029,1
219,😂,1
220,Plot twist: ini semua udah dirancang bu mega & pak joko untuk nggembosi suara pak PS08,1
221,😂 update status mlu kerjaannya 😮hidup 2 kaki😂,0
222,Negara Dagelan... Negara sudah kalah dan diacak-acak... Negara sudah lemah...,0
223,Semoga tidak menjadi presiden,1
224,Parah 😂😂,0
225,Atur aja terserah elo...negara punya bapak moyang Lo inih..,0
226,Bosen ngeributin itu terus😢😢😢!,0
227,lha memang iya toh pengkhianat wkwkwkk,1
228,"anaknya mah ga pentos apa2, ntar yg jalanin pemerintahan ya bapake juga bisikin..",0
229,Gak apa* pengkhianat Konstitusi demi kursi kekuasaan😢😢,0
230,"Hadeh makin bingung pilih dia, dia atau dia mending bikin kue aja deh, oh iya yang lagi nyari cake case atau alat baking lainya bisa cek instagram aku ya 😂😂",0
231,"Wataknya ngeri, haus kekuasaan, menghalalkan segala cara, ngeri emang kalo hati nurani digelapkan uang dan kekuasaan.... SDM rendah yang milih dia tuh cara berpikirnya gimana ya? Kayaknya otaknya segede kelereng kali ya? Tempatnya di dengkul lagi 😂😂😂😂💩💩💩🤡🤡🤡",0
232,Segala cara ditempuh demi kekuasaan,1
233,Mas gibran ntr kalo pilpres slesai.. Lanjutkan usaha cateringnya.,1
234,Status nya cuti ga yaa dari walikota 😂😂,0
235,Biasanya kentut yg bau itu yg tidak bunyi,1
236,"Mau siapapun presidennya, pilihan hatiku tetap Anies Baswedan",0
237,"Prabowo : keputusan MK
ganjar : pedeipe dan megawati 
 AMININ ajh siapapun presiden nya
 Untuk membawa indonesia lebih baik dan sejahtera 🤗🤗AMIN",1
238,Gila kekuasaaan !!,1
239,Bambang pacul ketawa liat Mahmud... wkwkwk... akhirnya mahmud bakal nurut sma bu Mega.,0
240,"Lah sama dong sm bapaknya, kalau berkhianat gk mslh n kita harus2 hati dng manusia seperti ini.",0
241,Pilih Pak Ganjar Pranowo dan Pak Mahfud MD,0
242,Awokwokwokwok 🤡🤡🤡🤡🤡🤡🤡🤡,1
243,Ya orang kalo gila duniawi dan jabatan mana perduli dgn akal sehatnya... Jd kita tggu aja karmanya @gibran_rakabuming,0
244,"Cukup bapakmu yang jadi boneka ,kau harus pergi dari keluarga banteng iru",1
245,"Gpp khianatin aja ,kan bapak mu di PDIP ga di angep presiden cuma di angep petugas partai ama ema ema PDIP , bapak mu yg jadi presiden yg ngendaliin mah di belakang layar dia smua, kasihan bapak mu sbner nya orang baik tpi karna ikut ini partai jadi ngikut buruk , gua si paling OGAH milih dari koalisi dari PDIP",0
246,Mumpung masih anak presiden,0
247,Gibran Cara menjawab ??? 😂😂😂 Dapat Salam Dari Tegak Lurus...😂😂😂,1
248,Amin,1
249,Sekarang jalur paman lewat EMKA... Dulu jalur kardus gembok lewat ESEMKA... 👏👏👏,0
250,"sepertinya habis gini pak jokowi juga keluar dari PDIP, gabung ke PSI, jadi punya partai sendiri",0
251,Salam perubahan 🔥 #AMIN,1
252,"Sepertinya dia emang niat bgt jadi wapres, bahkan pdip dan bu mega pun dihempaskan. Peraturan konstitusi pun diacak2 sama keluarganya. Ada apa mas gibran? Kenapa anda bisa selicik ini?",0
253,"Lebih keren pemikiran Alam Ganjar di bandingkan loe,di bilang pengkhianat kok gpp'' aja,,",1
254,Mas Gibran Cawapres ketika diskusi dengan Mas Nadiem Makarim (Mendikbud) kebantingkah Mas? Hanya berperspektif 🙏,1
255,Hati2 ada karmanya.. jangan bilang gpp...,0
256,Masih patutkah dipilih ?,1
257,"inilah BUKTI SEJATI kecintaan Jokowi pada negara. Ia mengorbankan keluarga (karir politik Gibran di PDI-P akan hancur) demi negara. Pasangan Prabowo-Gibran = Capres tllu tua dan ambisius, cawapres tllu muda dan kurang pengalaman. Rakyat Indonesia yg pinter takkan memilih pasangan spt ini. Dan pilihan yg terbaik adalah Ganjar-Mahfud dibandingkan  dibandingkan Anies-Imin.",1
258,Mahkamah Keluarga,0
259,Drama oh drama 👏👏,1
260,fans berat naruto wkwk,1
261,gua golput aja dah biar dipindahin warga negara wkwk,1
262,Hantu meing  emang  gitu ..serba  bodo amet😂😂😂😂 ga usah seius amet  doakn bangsa kita dlm kontrol YMK YNG MH KUASA  ALLAH BAOA OENCIPTA LANGIT & BUMI & ISINYA🇮🇩🇮🇩🇮🇩🇮🇩,0
263,"Pasangannya jadi ngawur, padahal tadinya all in prabowo",0
264,"coba deh lihat kejadian dulu pilpres pak jokowi vs pak prabowo, pak prabowo kalah eh ditarik sama pak jokowi jadi mentri lantaran merasa gak enakan ... yg gu takutin besok kdepannya hal nya sama 😂😂😂😂 yang jadi pak ganjar & pak mahmud tar ditarik lagi pak prabowo jadi mentri lantaran gak enakan😂😂😂",0
265,Dlm sgi apapun penghianat jangan di dukung,0
266,Dlm hal kecil dia udah berhianat,1
267,Calon pemimpin itu amanah .bukan penhianat,0
268,Ini org bukan maen isi otak nya .serdadu,0
269,"Isi perutku mau keluar..,",0
270,Cawapres eyang wowo cacat hukum.,1
271,terus maju mas Gibran👏,1
272,😂😂😂😂,1
273,Bocil 😂,1
274,😂😂 rasengan 🌀🌀🌀🌀🌀,1
275,Enteng amat ngomongnya serasa ga ada yang salah,1
276,Hmmmmmmm,1
277,"Gibran sebnarnya kecil..tpi akhirnya jadi gede, karna dibicarakan terus..org yg semula ng tahu jdi pengen tahu...akhirnya menang😂",0
